,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
  10 years under 15 years,2041.97,71190135.99,46351415.85,20977912.41,2010.00,gains,  10 years under 15 years,
  15 years under 20 years,792.12,30813808.26,15543007.00,12600640.74,2010.00,gains,  15 years under 20 years,
  20 years or more,984.30,62639298.89,22058699.92,33726031.29,2010.00,gains,  20 years or more,
  Period not determinable,21758.27,693178296.30,483278321.21,355284950.29,2010.00,gains,  Period not determinable,
Total,74975.78,1748035006.06,1700404482.66,116190790.33,2011.00,gains,Total,
  Under 1 month,24963.46,353935171.29,351413039.05,13467377.28,2011.00,gains,  Under 1 month,
  1 month under 2 months,6336.34,67443361.58,64391057.30,4015885.92,2011.00,gains,  1 month under 2 months,
  2 months under 3 months,4807.52,47277795.42,44191997.26,3411991.51,2011.00,gains,  2 months under 3 months,
  3 months under 4 months,4004.03,57487088.39,54678897.43,2974184.24,2011.00,gains,  3 months under 4 months,
  4 months under 5 months,3189.10,29351490.61,27082002.51,2330802.85,2011.00,gains,  4 months under 5 months,
  5 months under 6 months,2960.90,25894176.55,23616065.26,2376627.07,2011.00,gains,  5 months under 6 months,
  6 months under 7 months,2850.05,38814099.10,36417511.52,2461813.87,2011.00,gains,  6 months under 7 months,
  7 months under 8 months,2690.70,40951576.96,38688171.38,2339326.78,2011.00,gains,  7 months under 8 months,
  8 months under 9 months,2509.65,19125432.46,17273682.58,1826751.44,2011.00,gains,  8 months under 9 months,
  9 months under 10 months,2480.45,18918000.18,17188592.70,1893729.40,2011.00,gains,  9 months under 10 months,
  10 months under 11 months,2396.88,22035105.81,20246040.80,1744819.33,2011.00,gains,  10 months under 11 months,
  11 months under 12 months,2193.91,22703088.63,21178851.48,1821596.98,2011.00,gains,  11 months under 12 months,
  1 year or more [2],816.53,50520257.23,47410594.17,3419835.35,2011.00,gains,  1 year or more [2],
   Period not determinable,12776.23,953578361.86,936627979.22,72106048.31,2011.00,gains,   Period not determinable,
Long-term transactions,,,,,2011.00,gains,Long-term transactions,
Total,78446.96,1531535459.43,1203030567.77,542032149.77,2011.00,gains,Total,
  Under 18 months [3],13356.51,125081683.06,109097417.64,15664529.71,2011.00,gains,  Under 18 months [3],
  18 months under 2 years,9034.10,99337477.33,82479150.26,16265738.65,2011.00,gains,  18 months under 2 years,
  2 years under 3 years,12011.40,150933813.61,125161151.22,25730654.26,2011.00,gains,  2 years under 3 years,
  3 years under 4 years,3949.59,84816642.38,73591196.27,11452990.26,2011.00,gains,  3 years under 4 years,
  4 years under 5 years,2388.69,48553864.12,40610298.94,8880612.84,2011.00,gains,  4 years under 5 years,
  5 years under 10 years,6702.26,159065272.55,130544652.17,27909672.70,2011.00,gains,  5 years under 10 years,
  10 years under 15 years,2325.44,80487481.31,53296263.18,22968880.27,2011.00,gains,  10 years under 15 years,
  15 years under 20 years,780.81,27652320.59,14150679.46,11291777.52,2011.00,gains,  15 years under 20 years,
  20 years or more,913.45,61401406.70,25767032.40,27947137.23,2011.00,gains,  20 years or more,
  Period not determinable,26984.69,694205497.78,548332726.22,373920156.34,2011.00,gains,  Period not determinable,
Total,82810.77,1420384355.71,1379242466.91,98678301.21,2012.00,gains,Total,
  Under 1 month,20429.68,354647147.52,349630563.67,12185718.49,2012.00,gains,  Under 1 month,
  1 month under 2 months,6331.67,56907199.03,54917384.94,3921290.45,2012.00,gains,  1 month under 2 months,
  2 months under 3 months,4894.10,38101062.34,35829752.93,2725685.57,2012.00,gains,  2 months under 3 months,
  3 months under 4 months,4652.21,32914928.07,31095221.50,2417293.55,2012.00,gains,  3 months under 4 months,
  4 months under 5 months,3805.20,26007005.22,24007687.40,2202328.20,2012.00,gains,  4 months under 5 months,
  5 months under 6 months,3863.80,27463223.51,25484972.36,2225939.26,2012.00,gains,  5 months under 6 months,
  6 months under 7 months,3710.02,30069829.21,28024393.76,2343819.34,2012.00,gains,  6 months under 7 months,
  7 months under 8 months,3364.63,21198371.92,19631746.90,1790476.78,2012.00,gains,  7 months under 8 months,
  8 months under 9 months,2755.45,18217622.17,16613062.14,1573507.13,2012.00,gains,  8 months under 9 months,
  9 months under 10 months,2872.64,22151703.79,20743640.96,1683607.01,2012.00,gains,  9 months under 10 months,
  10 months under 11 months,2701.79,18959090.92,17195715.22,1638794.80,2012.00,gains,  10 months under 11 months,
  11 months under 12 months,2795.34,20376119.68,18907750.74,1643463.45,2012.00,gains,  11 months under 12 months,
  1 year or more [2],1051.23,24372762.99,21580748.91,3201331.93,2012.00,gains,  1 year or more [2],
   Period not determinable,19582.99,728998289.35,715579825.49,59125045.27,2012.00,gains,   Period not determinable,
Long-term transactions,,,,,2012.00,gains,Long-term transactions,
Total,90463.87,1527625995.26,1081519310.63,745745186.11,2012.00,gains,Total,
  Under 18 months [3],13588.03,115255122.12,98755561.89,16842310.74,2012.00,gains,  Under 18 months [3],
  18 months under 2 years,9429.03,72063017.62,60475979.83,11405256.95,2012.00,gains,  18 months under 2 years,
  2 years under 3 years,13118.23,120451758.46,97824715.34,22085513.79,2012.00,gains,  2 years under 3 years,
  3 years under 4 years,8342.80,96348437.44,73872288.96,22317229.17,2012.00,gains,  3 years under 4 years,
  4 years under 5 years,3572.15,64934123.41,52414516.77,13564392.34,2012.00,gains,  4 years under 5 years,
  5 years under 10 years,7410.04,198269353.44,156168657.90,45903333.82,2012.00,gains,  5 years under 10 years,
  10 years under 15 years,2691.67,102823875.04,61637597.72,34272118.60,2012.00,gains,  10 years under 15 years,
  15 years under 20 years,994.74,50317333.60,23436171.45,21657870.47,2012.00,gains,  15 years under 20 years,
  20 years or more,1173.69,109094859.48,37071263.44,61005279.90,2012.00,gains,  20 years or more,
  Period not determinable,30143.49,598068114.66,419862557.32,496691880.32,2012.00,gains,  Period not determinable,
Total:,126178.95,1998064587.05,2259011207.60,320496207.52,2008.00,losses,Total:,
  Under 1 month,19394.04,276956887.76,306728851.92,29754155.86,2008.00,losses,  Under 1 month,
  1 month under 2 months,8627.03,63434374.91,76164869.75,12539554.30,2008.00,losses,  1 month under 2 months,
  2 months under 3 months,7606.83,45099158.50,55748850.89,10552619.91,2008.00,losses,  2 months under 3 months,
  3 months under 4 months,7058.86,43162777.12,52671245.91,9528537.06,2008.00,losses,  3 months under 4 months,
  4 months under 5 months,5962.66,34659158.45,44697175.07,9750344.19,2008.00,losses,  4 months under 5 months,
  5 months under 6 months,5672.47,32480530.81,41847242.84,9358200.26,2008.00,losses,  5 months under 6 months,
  6 months under 7 months,5620.02,38598161.77,48555621.25,9882162.97,2008.00,losses,  6 months under 7 months,
  7 months under 8 months,5016.62,46781683.50,55087515.89,8066642.03,2008.00,losses,  7 months under 8 months,
  8 months under 9 months,4650.44,33406824.25,41387918.58,7969954.01,2008.00,losses,  8 months under 9 months,
  9 months under 10 months,4563.53,22545292.55,31166468.04,8572291.18,2008.00,losses,  9 months under 10 months,
  10 months under 11 months,4168.71,38129331.15,46193234.49,8058081.06,2008.00,losses,  10 months under 11 months,
  11 months under 12 months,4162.62,40597090.97,48991040.93,8468115.39,2008.00,losses,  11 months under 12 months,
  1 year or more [2],1243.66,54604262.51,60513780.44,5817101.31,2008.00,losses,  1 year or more [2],
   Period not determinable,42431.45,1227609052.80,1349257391.60,182178448.00,2008.00,losses,   Period not determinable,
Long-term transactions,,,,,2008.00,losses,Long-term transactions,
Total:,73503.49,677259440.17,909757887.88,271135135.58,2008.00,losses,Total:,
  Under 18 months [3],17937.76,98544664.66,134943381.14,36348537.33,2008.00,losses,  Under 18 months [3],
  18 months under 2 years,11322.93,55518871.73,76141838.59,20705667.79,2008.00,losses,  18 months under 2 years,
  2 years under 3 years,12501.41,69603363.93,95962144.69,25935020.29,2008.00,losses,  2 years under 3 years,
  3 years under 4 years,6029.93,42393408.76,56655195.66,14267114.33,2008.00,losses,  3 years under 4 years,
  4 years under 5 years,3265.54,26765226.53,36989503.07,10134654.59,2008.00,losses,  4 years under 5 years,
  5 years under 10 years,6573.80,40965888.47,61174860.34,20179982.94,2008.00,losses,  5 years under 10 years,
  10 years under 15 years,1245.80,7800721.91,12459360.99,4639839.82,2008.00,losses,  10 years under 15 years,
  15 years under 20 years,275.61,3490195.25,4893349.38,1418551.93,2008.00,losses,  15 years under 20 years,
  20 years or more,161.13,1862342.13,3508812.09,1646811.26,2008.00,losses,  20 years or more,
  Period not determinable,14189.58,330314756.81,427029441.93,135858955.30,2008.00,losses,  Period not determinable,
  Under 1 month,13652.17,195443491.53,210234060.00,15373781.38,2009.00,losses,  Under 1 month,
  1 month under 2 months,4941.44,33757506.59,39644573.23,5864292.32,2009.00,losses,  1 month under 2 months,
  2 months under 3 months,4165.53,25668223.06,30677780.25,5021537.19,2009.00,losses,  2 months under 3 months,
  3 months under 4 months,3544.67,21460652.79,26127312.89,4671630.58,2009.00,losses,  3 months under 4 months,
  4 months under 5 months,3416.26,14860783.90,18640752.92,3813362.27,2009.00,losses,  4 months under 5 months,
  5 months under 6 months,2618.07,12454780.87,16345449.97,3891820.03,2009.00,losses,  5 months under 6 months,
  6 months under 7 months,2716.54,14718663.47,18359762.27,3606276.36,2009.00,losses,  6 months under 7 months,
  7 months under 8 months,2564.52,13729372.39,17437033.61,3724524.58,2009.00,losses,  7 months under 8 months,
  8 months under 9 months,2265.68,9091433.58,12974519.15,3892373.56,2009.00,losses,  8 months under 9 months,
  9 months under 10 months,2403.55,9528161.39,13408627.09,3918238.80,2009.00,losses,  9 months under 10 months,
  10 months under 11 months,2619.84,11175314.76,14959246.45,3795750.37,2009.00,losses,  10 months under 11 months,
  11 months under 12 months,2743.05,13217984.51,16948712.97,3742818.57,2009.00,losses,  11 months under 12 months,
  1 year or more [2],869.57,38347802.64,41717934.34,3232196.69,2009.00,losses,  1 year or more [2],
   Period not determinable,14509.57,900542753.43,971072544.83,92770083.47,2009.00,losses,   Period not determinable,
Long-term transactions,,,, ,2009.00,losses,Long-term transactions,
Total:,68915.28,538028543.47,767159032.06,296516335.24,2009.00,losses,Total:,
  Under 18 months [3],16371.76,75253708.59,105577115.04,30384633.07,2009.00,losses,  Under 18 months [3],
  18 months under 2 years,10175.47,40381560.41,59333461.15,19066990.62,2009.00,losses,  18 months under 2 years,
  2 years under 3 years,11514.60,52749915.10,79006533.30,26118278.64,2009.00,losses,  2 years under 3 years,
  3 years under 4 years,6037.67,32206661.83,47010467.44,14796410.66,2009.00,losses,  3 years under 4 years,
  4 years under 5 years,3191.41,24522431.60,35569806.28,10991764.36,2009.00,losses,  4 years under 5 years,
  5 years under 10 years,5685.24,35597922.99,53503425.62,17940277.18,2009.00,losses,  5 years under 10 years,
  10 years under 15 years,1318.79,6790939.81,11779400.82,5009346.32,2009.00,losses,  10 years under 15 years,
  15 years under 20 years,232.72,2634714.81,3735988.62,1067859.53,2009.00,losses,  15 years under 20 years,
  20 years or more,227.59,1453299.60,3020863.39,1567536.55,2009.00,losses,  20 years or more,
  Period not determinable,14160.02,266437388.73,368621970.39,169573238.30,2009.00,losses,  Period not determinable,
Total,42924.43,1454140711.39,1525571792.73,82597310.17,2010.00,losses,Total,
  Under 1 month,12563.83,201532815.17,211137909.73,10686127.66,2010.00,losses,  Under 1 month,
  1 month under 2 months,4029.14,47385861.56,52074430.11,4708075.66,2010.00,losses,  1 month under 2 months,
  2 months under 3 months,2950.22,28534097.39,31318992.68,2828743.88,2010.00,losses,  2 months under 3 months,
  3 months under 4 months,2603.73,24605986.76,26984980.85,2260801.65,2010.00,losses,  3 months under 4 months,
  4 months under 5 months,2419.45,17034783.28,19062502.25,2050549.44,2010.00,losses,  4 months under 5 months,
  5 months under 6 months,1959.23,16666349.41,18718585.30,2058562.69,2010.00,losses,  5 months under 6 months,
  6 months under 7 months,1667.85,16845736.93,18405094.60,1565109.22,2010.00,losses,  6 months under 7 months,
  7 months under 8 months,1564.76,12910873.65,14566428.57,1666819.08,2010.00,losses,  7 months under 8 months,
  8 months under 9 months,1287.35,12023430.76,13346135.15,1370648.21,2010.00,losses,  8 months under 9 months,
  9 months under 10 months,1089.97,10555305.91,11575587.36,1144580.45,2010.00,losses,  9 months under 10 months,
  10 months under 11 months,954.28,8279188.05,9509232.89,1266616.51,2010.00,losses,  10 months under 11 months,
  11 months under 12 months,792.26,11770117.77,12815718.05,1046956.48,2010.00,losses,  11 months under 12 months,
  1 year or more [2],304.16,121522094.59,126342068.68,4839642.83,2010.00,losses,  1 year or more [2],
   Period not determinable,8738.20,924474070.15,959714126.52,45104076.41,2010.00,losses,   Period not determinable,
Long-term transactions,,,,,2010.00,losses,Long-term transactions,
Total,39026.30,552665067.92,693058991.71,184267728.81,2010.00,losses,Total,
  Under 18 months [3],3485.81,80113428.74,85791857.16,5615651.80,2010.00,losses,  Under 18 months [3],
  18 months under 2 years,3860.45,31143083.09,38441759.47,7328898.02,2010.00,losses,  18 months under 2 years,
  2 years under 3 years,7962.05,61236432.03,80939674.46,19562606.81,2010.00,losses,  2 years under 3 years,
  3 years under 4 years,4527.98,39221974.57,53770753.53,15415518.91,2010.00,losses,  3 years under 4 years,
  4 years under 5 years,2473.94,28240179.32,40275170.11,11891199.62,2010.00,losses,  4 years under 5 years,
  5 years under 10 years,4039.76,44414149.53,61440280.50,17181777.08,2010.00,losses,  5 years under 10 years,
  10 years under 15 years,1338.89,10193588.23,16265374.28,6119020.01,2010.00,losses,  10 years under 15 years,
  15 years under 20 years,225.29,2891333.21,4385182.32,1504167.62,2010.00,losses,  15 years under 20 years,
  20 years or more,164.32,2567116.59,4370541.91,1884851.04,2010.00,losses,  20 years or more,
  Period not determinable,10947.81,252643782.63,307378397.97,97764037.91,2010.00,losses,  Period not determinable,
Total,58307.40,2250716287.17,2389262651.39,124316943.37,2011.00,losses,Total,
  Under 1 month,13189.77,202032998.08,216504237.76,13550143.94,2011.00,losses,  Under 1 month,
  1 month under 2 months,4808.82,39695786.40,44693153.70,4805523.17,2011.00,losses,  1 month under 2 months,
  2 months under 3 months,3839.09,28638816.40,32687464.81,3976557.70,2011.00,losses,  2 months under 3 months,
  3 months under 4 months,3563.82,27863010.80,31602794.94,3682079.92,2011.00,losses,  3 months under 4 months,
  4 months under 5 months,3118.89,21796663.92,25789278.26,3965197.68,2011.00,losses,  4 months under 5 months,
  5 months under 6 months,2638.08,21554784.37,24965750.53,3400989.65,2011.00,losses,  5 months under 6 months,
  6 months under 7 months,2398.09,48904261.14,52277070.53,3323255.43,2011.00,losses,  6 months under 7 months,
  7 months under 8 months,2170.21,29988166.07,33078184.69,3149089.20,2011.00,losses,  7 months under 8 months,
  8 months under 9 months,1849.02,15378527.30,17825256.35,2483149.06,2011.00,losses,  8 months under 9 months,
  9 months under 10 months,1690.85,17121171.58,19378554.94,2192051.55,2011.00,losses,  9 months under 10 months,
  10 months under 11 months,1488.11,14269355.53,16453082.98,2184005.22,2011.00,losses,  10 months under 11 months,
  11 months under 12 months,1393.94,13886695.03,15869539.83,1976276.88,2011.00,losses,  11 months under 12 months,
  1 year or more [2],508.42,127126243.35,131972236.17,2676164.20,2011.00,losses,  1 year or more [2],
   Period not determinable,15650.29,1642459807.20,1726166045.90,72952459.80,2011.00,losses,   Period not determinable,
Long-term transactions,,,,,2011.00,losses,Long-term transactions,
Total,33827.25,525479096.01,658289624.70,166111487.50,2011.00,losses,Total,
  Under 18 months [3],5466.76,71427055.53,81075311.61,8634533.27,2011.00,losses,  Under 18 months [3],
  18 months under 2 years,2941.33,38759570.56,46193498.30,7485374.42,2011.00,losses,  18 months under 2 years,
  2 years under 3 years,3431.95,36715080.76,47213336.33,10543270.86,2011.00,losses,  2 years under 3 years,
  3 years under 4 years,4355.59,34936017.92,47553957.72,12732093.00,2011.00,losses,  3 years under 4 years,
  4 years under 5 years,2620.06,24899060.85,34669683.87,9944391.22,2011.00,losses,  4 years under 5 years,
  5 years under 10 years,4177.02,48651738.36,68874089.55,19939693.98,2011.00,losses,  5 years under 10 years,
  10 years under 15 years,1442.47,10022342.02,16229055.68,6226594.43,2011.00,losses,  10 years under 15 years,
  15 years under 20 years,201.14,3288001.10,4409296.84,1121435.36,2011.00,losses,  15 years under 20 years,
  20 years or more,143.96,5734287.11,7272759.25,1536807.69,2011.00,losses,  20 years or more,
  Period not determinable,9046.98,251045941.82,304798635.55,87947293.26,2011.00,losses,  Period not determinable,
Total,41997.44,1090036048.30,1185338651.57,73708874.92,2012.00,losses,Total,
  Under 1 month,10599.51,176122756.44,190819963.16,11687897.20,2012.00,losses,  Under 1 month,
  1 month under 2 months,3575.43,26804793.47,30394216.72,3505565.70,2012.00,losses,  1 month under 2 months,
  2 months under 3 months,2958.23,19810813.19,22547719.44,2716973.84,2012.00,losses,  2 months under 3 months,
  3 months under 4 months,2447.10,18600463.69,20954192.93,2304711.94,2012.00,losses,  3 months under 4 months,
  4 months under 5 months,2071.73,14168497.86,16195440.77,2038508.68,2012.00,losses,  4 months under 5 months,
  5 months under 6 months,1773.29,20047636.19,21856500.20,1712340.72,2012.00,losses,  5 months under 6 months,
  6 months under 7 months,1745.38,11871103.67,13546055.57,1731322.29,2012.00,losses,  6 months under 7 months,
  7 months under 8 months,1624.78,12331371.09,14009629.79,1620727.30,2012.00,losses,  7 months under 8 months,
  8 months under 9 months,1499.17,10165000.95,11700527.41,1524554.10,2012.00,losses,  8 months under 9 months,
  9 months under 10 months,1498.62,9145428.90,10786103.76,1626477.50,2012.00,losses,  9 months under 10 months,
  10 months under 11 months,1414.83,7938126.87,9410604.31,1460896.69,2012.00,losses,  10 months under 11 months,
  11 months under 12 months,1506.79,12699502.71,14563750.76,1825551.95,2012.00,losses,  11 months under 12 months,
  1 year or more [2],519.51,100216991.82,109565063.02,2857706.03,2012.00,losses,  1 year or more [2],
   Period not determinable,8763.07,650113561.45,698988883.74,37095640.98,2012.00,losses,   Period not determinable,
Long-term transactions,,,, ,2012.00,losses,Long-term transactions,
Total,32664.42,405509672.05,528419178.91,130837722.34,2012.00,losses,Total,
  Under 18 months [3],7337.80,60665158.07,70078030.91,8930511.18,2012.00,losses,  Under 18 months [3],
  18 months under 2 years,3901.62,74175185.79,94656583.13,5940313.65,2012.00,losses,  18 months under 2 years,
  2 years under 3 years,3282.15,24951785.14,31151501.23,6230883.70,2012.00,losses,  2 years under 3 years,
  3 years under 4 years,1786.31,16173629.80,21568558.27,5362987.81,2012.00,losses,  3 years under 4 years,
  4 years under 5 years,2343.36,20164455.13,28538634.30,8444958.09,2012.00,losses,  4 years under 5 years,
  5 years under 10 years,3781.84,45673555.55,69663083.24,24037681.90,2012.00,losses,  5 years under 10 years,
  10 years under 15 years,1349.07,13452561.58,19815311.92,6348252.40,2012.00,losses,  10 years under 15 years,
  15 years under 20 years,241.08,2572600.72,4633703.03,2070525.09,2012.00,losses,  15 years under 20 years,
  20 years or more,111.10,2611391.91,4155931.66,1560221.72,2012.00,losses,  20 years or more,
  Period not determinable,8530.08,145069348.37,184157841.22,61911386.81,2012.00,losses,  Period not determinable,
