,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
Total:,43152387.00,915852620.00,850019654.00,81084594.00,2001.00,gains,Total:,
Under 1 month,18476739.00,297155060.00,278485164.00,18698062.00,2001.00,gains,Under 1 month,
1 month under 2 months,4590631.00,61849210.00,55765965.00,6097553.00,2001.00,gains,1 month under 2 months,
2 months under 3 months,2612542.00,32265255.00,27592738.00,4641782.00,2001.00,gains,2 months under 3 months,
3 months under 4 months,2165541.00,37504237.00,34375819.00,3101070.00,2001.00,gains,3 months under 4 months,
4 months under 5 months,1792506.00,18721388.00,16463994.00,2310638.00,2001.00,gains,4 months under 5 months,
5 months under 6 months,1465354.00,15531270.00,13636504.00,1898698.00,2001.00,gains,5 months under 6 months,
6 months under 7 months,1312307.00,20204933.00,18188334.00,1766812.00,2001.00,gains,6 months under 7 months,
7 months under 8 months,1222592.00,14213627.00,12499641.00,1742518.00,2001.00,gains,7 months under 8 months,
8 months under 9 months,1158427.00,12695279.00,10962277.00,1745277.00,2001.00,gains,8 months under 9 months,
9 months under 10 months,1023152.00,11925272.00,10307141.00,1611283.00,2001.00,gains,9 months under 10 months,
10 months under 11 months,1046955.00,16735677.00,15018626.00,1715287.00,2001.00,gains,10 months under 11 months,
11 months under 12 months,922117.00,14397976.00,12640892.00,1768656.00,2001.00,gains,11 months under 12 months,
1 year or more [2],582172.00,18657621.00,17203689.00,1450293.00,2001.00,gains,1 year or more [2],
Holding period not determinable,4781352.00,343995815.00,326878870.00,32536665.00,2001.00,gains,Holding period not determinable,
Long-term transactions,,,,,2001.00,gains,Long-term transactions,
Total:,54225957.00,865002522.00,536383275.00,435403208.00,2001.00,gains,Total:,
Under 18 months [3],5836186.00,89878643.00,71032617.00,19140114.00,2001.00,gains,Under 18 months [3],
18 months under 2 years,3760218.00,57434475.00,44486884.00,12728710.00,2001.00,gains,18 months under 2 years,
2 years under 3 years,5241272.00,85232472.00,63353298.00,19809048.00,2001.00,gains,2 years under 3 years,
3 years under 4 years,3030914.00,55964120.00,40329740.00,14814168.00,2001.00,gains,3 years under 4 years,
4 years under 5 years,2369374.00,44457819.00,30776132.00,12915946.00,2001.00,gains,4 years under 5 years,
5 years under 10 years,5898646.00,125513230.00,76171356.00,43044704.00,2001.00,gains,5 years under 10 years,
10 years under 15 years,1748578.00,62545192.00,36235719.00,22877160.00,2001.00,gains,10 years under 15 years,
15 years under 20 years,873114.00,37842687.00,11187078.00,24134172.00,2001.00,gains,15 years under 20 years,
20 years or more,1257832.00,52662592.00,15689781.00,34373053.00,2001.00,gains,20 years or more,
Holding period not determinable,24209823.00,253471292.00,147120670.00,231566133.00,2001.00,gains,Holding period not determinable,
Total:,51328949.00,767592726.00,907320496.00,159536901.00,2001.00,Losses,Total:,
Under 1 month,12919772.00,189560049.00,206738203.00,17245427.00,2001.00,Losses,Under 1 month,
1 month under 2 months,4745921.00,35930055.00,45308614.00,9384185.00,2001.00,Losses,1 month under 2 months,
2 months under 3 months,3554186.00,23226663.00,30024799.00,6804482.00,2001.00,Losses,2 months under 3 months,
3 months under 4 months,3636544.00,23185806.00,30710066.00,7518858.00,2001.00,Losses,3 months under 4 months,
4 months under 5 months,3121174.00,17358446.00,25059254.00,7678522.00,2001.00,Losses,4 months under 5 months,
5 months under 6 months,2865170.00,15057849.00,22258179.00,7197977.00,2001.00,Losses,5 months under 6 months,
